Segment group,Treatment,Index,Set,Timepoint ,Plate,Well,Worm ID,Err,Date,Snap,DPA,Segments,Originally cut,Original segments,Starting segments,Segments added,Stage of blastema,Date of death,Days surviving,Death,Stage of death,Sex,Notes,Folder,Stage of blastema letter
s40,AMP,b,S1,T1,P1,1,s40_AMP_b_S1_T1_P1_1,,16 Dec 2022,393,3,8,13 Dec 2022,46,8,0,1,,,n,,,,,b
s40,AMP,b,S1,T1,P1,2,s40_AMP_b_S1_T1_P1_2,,16 Dec 2022,396,3,8,13 Dec 2022,45,8,0,1,,,n,,,,,b
s40,AMP,b,S1,T1,P1,3,s40_AMP_b_S1_T1_P1_3,,16 Dec 2022,397,3,8,13 Dec 2022,40,8,0,1,,,n,,,,,b
s40,AMP,b,S1,T1,P1,4,s40_AMP_b_S1_T1_P1_4,,16 Dec 2022,398,3,8,13 Dec 2022,47,8,0,1,,,n,,,,,b
s40,AMP,b,S2,T2,P1,1,s40_AMP_b_S2_T2_P1_1,,30 January 2023,377,7,8,23 January 2023,49,8,0,1,,,n,,,,,b
s60,AMP,d,S1,T1,P1,1,s60_AMP_d_S1_T1_P1_1,,17 December 2022,403,3,8,14 December 2022,62,8,0,1,,,n,,,,,b
s60,AMP,d,S1,T1,P1,2,s60_AMP_d_S1_T1_P1_2,,17 December 2022,404,3,8,14 December 2022,60,8,0,1,,,n,,,,,b
s60,AMP,d,S1,T1,P1,3,s60_AMP_d_S1_T1_P1_3,,17 December 2022,405,3,8,14 December 2022,65,8,0,1,,,n,,,,,b
s60,AMP,d,S1,T1,P1,4,s60_AMP_d_S1_T1_P1_4,,17 December 2022,406,3,8,14 December 2022,64,8,0,1,,,n,,,,,b
s60,AMP,d,S1,T1,P1,5,s60_AMP_d_S1_T1_P1_5,,17 December 2022,408,3,8,14 December 2022,66,8,0,1,,,n,,,,,b
s60,AMP,d,S1,T1,P1,6,s60_AMP_d_S1_T1_P1_6,,17 December 2022,409,3,8,14 December 2022,60,8,0,1,,,n,,,,,b
s60,AMP,d,S2,T1,P1,2,s60_AMP_d_S2_T1_P1_2,,13 February,565,3,8,10 February 2023,59,8,0,1,,,n,,,,,b
s60,AMP,d,S2,T1,P1,3,s60_AMP_d_S2_T1_P1_3,,13 February,566,3,8,10 February 2023,65,8,0,1,,,n,,,,,b
s60,AMP,d,S2,T1,P1,4,s60_AMP_d_S2_T1_P1_4,,13 February,567,3,8,10 February 2023,62,8,0,1,,,n,,,,,b
s60,AMP,d,S2,T1,P1,5,s60_AMP_d_S2_T1_P1_5,,13 February,568,3,8,10 February 2023,66,8,0,1,,,n,,,,,b
s60,AMP,d,S2,T1,P1,6,s60_AMP_d_S2_T1_P1_6,,13 February,569,3,8,10 February 2023,62,8,0,1,,,n,,,,,b
s60,AMP,d,S2,T2,P1,6,s60_AMP_d_S2_T2_P1_6,,17 February,602,7,8,10 February 2023,67,8,0,1,,,n,,,Tiny outgrowth,,b
s60,AMP,d,S2,T3,P2,5,s60_AMP_d_S2_T3_P2_5,,24 February 2023,642,14,8,10 February 2023,60,8,0,1,1 March 2023,19,y,,,,,b
s60,AMP,d,S3,T1,P1,2,s60_AMP_d_S3_T1_P1_2,,10 March 2023,891,3,8,7 March 2023,62,8,0,1,,,n,,,,,b
