Segment group,Treatment,Index,Set,Timepoint,Plate,Well,Worm ID,Err,Date,Snap,DPA,Segments,Originally cut,Original segments,Starting segments,Segments added,Rate,Stage of blastema,Date of death,Days surviving,Death,Stage of death,Sex,Notes,Folder,Stage of blastema letter
s40,AMP,b,S1,T4,P1,1,s40_AMP_b_S1_T4_P1_1,,13-Dec-22,NA,0,8,13-Dec-22,42,8,0,0,,,,n,,,,,
s40,AMP,b,S1,T4,P1,1,s40_AMP_b_S1_T4_P1_1,,20-Dec-22,NA,7,8,13-Dec-22,42,8,0,0,,,,n,,,,,
s40,AMP,b,S1,T4,P1,1,s40_AMP_b_S1_T4_P1_1,,10-Jan-23,474,28,21,13-Dec-22,42,8,13,0.619047619,,,,n,,,,,
s40,AMP,b,S1,T4,P1,1,s40_AMP_b_S1_T4_P1_1,,24-Jan-23,362,42,35,13-Dec-22,42,8,27,1,beyond st 5,,,,,,,,g
s40,AMP,b,S1,T4,P1,1,s40_AMP_b_S1_T4_P1_1,,31-Jan-23,407,49,38,13-Dec-22,42,8,30,0.428571429,beyond st 5,,,n,,,,,g
s40,AMP,b,S1,T4,P1,1,s40_AMP_b_S1_T4_P1_1,,9-Feb-23,549,58,39,13-Dec-22,42,8,31,0.111111111,beyond st 5,,,n,,,,,g
s40,AMP,b,S1,T4,P1,1,s40_AMP_b_S1_T4_P1_1,,14-Feb-23,573,63,42,13-Dec-22,42,8,34,0.6,,,,n,,,,,
s40,AMP,b,S1,T4,P1,2,s40_AMP_b_S1_T4_P1_2,,13-Dec-22,NA,0,8,13-Dec-22,45,8,0,0,,,,n,,,,,
s40,AMP,b,S1,T4,P1,2,s40_AMP_b_S1_T4_P1_2,,20-Dec-22,NA,7,11,13-Dec-22,45,8,3,0.428571429,,,,n,,,,,
s40,AMP,b,S1,T4,P1,2,s40_AMP_b_S1_T4_P1_2,,10-Jan-23,475,28,40,13-Dec-22,45,8,32,1.380952381,,,,n,,,,,
s40,AMP,b,S1,T4,P1,2,s40_AMP_b_S1_T4_P1_2,,24-Jan-23,363,42,46,13-Dec-22,45,8,38,0.428571429,beyond st 5,,,,,,,,g
s40,AMP,b,S1,T4,P1,2,s40_AMP_b_S1_T4_P1_2,,31-Jan-23,408,49,51,13-Dec-22,45,8,43,0.714285714,beyond st 5,,,n,,,,,g
s40,AMP,b,S1,T4,P1,2,s40_AMP_b_S1_T4_P1_2,,9-Feb-23,550,58,51,13-Dec-22,45,8,43,0,beyond st 5,,,n,,,,,g
s40,AMP,b,S1,T4,P1,2,s40_AMP_b_S1_T4_P1_2,,14-Feb-23,574,63,53,13-Dec-22,45,8,45,0.4,beyond st 5,,,n,,,,,g
s40,AMP,b,S1,T4,P1,3,s40_AMP_b_S1_T4_P1_3,,13-Dec-22,NA,0,8,13-Dec-22,47,8,0,0,,,,n,,,,,
s40,AMP,b,S1,T4,P1,3,s40_AMP_b_S1_T4_P1_3,,20-Dec-22,453,7,9,13-Dec-22,47,8,1,0.142857143,beyond st 5,,,n,,,,,g
s40,AMP,b,S1,T4,P1,3,s40_AMP_b_S1_T4_P1_3,,10-Jan-23,476,28,33,13-Dec-22,47,8,25,1.142857143,,,,n,,,,,
